product_description,product_type,sentiment
"Apple Pop Up Store for #SXSW, Why not Pop Up Genius Bars - Everywhere?",9,3
Ok. Someone's trying to tell me something: For the 2nd day in a row I got to the #sxsw Apple store right as it closed.,9,0
Free iTunes SXSW &quot;Featured Artists&quot; sampler: {link} #free #music #SXSW,4,3
If I were at #SXSW I could spend it all at the @mention Teaching Theater alone; just look at that schedule: {link},9,2
"Android may be gaining market share, but you'd never know it at #sxsw. Apparently our industry movers and shakers are Apple loyalists.",9,3
"Security guard enjoying the iPad2 at the Apple Store in Austin... #sxsw #ipad2 
 {link}",6,3
Questions about what's inside the iPad 2? Fire them my way. #sxsw,9,2
#Cloud #VC This Post Has Nothing to do with #SXSW: 2x startup Founder &amp; CEO who has gone to the Dark Side o... {link} #TCN,9,2
@mention You bet man! Kindle and Apple for sure. You can pre-order on Amazon. You at #SXSW?,2,3
Finally with a picture! RT @mention Apple to Open Pop-Up Shop at SXSW [REPORT] - {link} #sxsw,9,2
"#sxswnui #sxsw laptop denotes work, #iPad denotes fun",6,3
"Have you ever seen someone pay to have a guy wait in line for them for an Apple device? Yeah, I just did that. #Lame #sxsw",9,2
"RT @mention if you were at the #pepsicostage yesterday, check your bag. You may have my iPad. The screen will tell you it's mine #sxsw",9,2
"Correction: Our cab driver is well prepared for #sxsw - he's got a laptop, a Blackberry and iPhone by his dashboard. He got a regular cell 2",9,2
RT @mention Google to launch social network Google Circles  at some point - but not at SXSW today.  :-(   {link}   #sxsw,9,2
Heading to free Google-sponsored happy hour for Semantic Web Austin @mention Fogo de ChÌÁo #sxsw,3,3
"HBD! If we all donated a dime... RT @mention everyone coming to #SXSW, a friendly reminder that iPad 2 out Friday &amp; my birthday is Saturday",9,2
RT @mention no umbrella when you have &quot;the list&quot; via @mention ÷¼ Are you all set? ÷_ {link} ÷_ #edchat #musedchat #sxsw #sxswi #newTwitter,9,2
Huge shout out to GSDM &amp; Google for the kick ass party tonight! We had an unbelievable time. #SXSW,3,3
"When brand focuses on purpose, not object, they survive &amp; succeed. Google: not search, useful info. Nike: not sneakers, performance. #sxsw",3,3
"So Annoyed with #SXSW schedule app that has bad #ui for iPad. My fingers ain't THAT fat, y'all.",7,1
RT @mention Wait. FIONA APPLE is in town??? Somebody kidnap her and put her in a recording studio until she records a new album. #sxsw,9,2
omarg: It's not a rumor: Apple is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 launch {link},9,2
Temporary apple store opens at 5pm at 6th and congress. Line already growing. #iPad - view.io {link} via @mention #sxsw,2,3
"@mention just arrived at the #GSDM &amp; #Google #SXSW Industry Party Austin, TX.",9,2
Apple Popup Store at #SXSW {link},9,2
Get a Personalized SXSW Show Schedule via App From... {link} #Mobile_Apps #Music #Echo_Nest #rhapsody #sxsw #Cyber #iPhone,9,2
Confusion over Google Circles. Google claim Circles is not being released at #sxsw and is not even in development. {link},9,2
Dear #SXSW goer... Please look up from your fucking iPhone when walking the halls. Thanks Hipsters. Hilarious!,8,1
"Dan Neumann just announced the launch of Organic's first consumer-facing iPad app, Broadfeed at #SXSW 
check it out!!",6,3
RT @mention Great day at #SXSW -BUT jaloux of @mention &amp; HIS NEW iPad.Look at him on school bus on 1st day of school {link},6,3
"Line for the iPad 2, at the Apple Store. No demo units until 5pm. #sxsw #fb {link} {link}",6,3
Apple is opening up a temporary store just for the #sxsw conference and the iPad 2 launch. Might have to make a stop.,6,3
"RT @mention One minute ago, the guy I spoke outside Apple's pop-up Austin store would have got his hands on an iPad 2. He waited since 6.30am... #sxsw",9,2
RT @mention RT @mention It's not a rumor: Apple is opening up a temporary store in downtown Austin for #SXSW + the #iPad2 launch {link},9,2
"RT @mention Come party w/ @mention and Google tonight at #sxsw: {link} Bands, food, art, ice cream, nifty interactive maps!",9,2
Headline: &quot;#iPad 2 is the Must-Have Gadget at #SXSW&quot; Hmm... I could have seen that one coming! {link} #gadget,6,3
Interesting news ÛÏ@mention We interrupt your regularly scheduled #sxsw geek programming with big news {link}  #google #circlesÛ,9,2
RT @mention Will Google reveal a new social network called Circles? #Google #Facebook #Twitter #SXSW {link} via @mention,9,2
"RT @mention .@mention of @mention on manufacturing serendipity- &quot;Having access to more information makes us more curious, not less&quot; #SXSW",9,2
My Google calendar's Saturday night is a giant overlap of #sxsw parties.,9,2
Would like to know which LBS app I downloaded has commandeered my iPhone's geolocation setting &amp; won't relinquish. #batterykiller #SXSW,7,1
IceBreaker for iPhone presenting at #sxsw #leanstartup: {link} - unfortunate domain name,9,2
"Not to fear, #SXSW attendees... you can pick up your iPad 2s from Apple's Austin pop-up shop! {link} via @mention",6,3
RT @mention #SXSW 2011: The Google and Bing smackdown in all its bloody banality (Guardian) {link} via @mention,3,1
"bored at #SxSW, try this iphone app: {link}",7,3
I can't believe what google just announced at Maggie Maes. Game changer for sure. #sxsw,3,3
I won't lie - I've had a chance to watch people actually using the iPad at #sxsw and it makes me want one. :-/,6,3
RT @mention Text &quot;SXSW&quot; to 24587 for chance to win iPad! Drawing 3/17 at Friends #SXSW. Must be present to win! See ya there! {link},9,2
Google maths of the day: wave + buzz = circles! #google #circles #fail #sxsw,9,2
RT @mention It is ridiculous to see someone taking a photo during a session with their iPad. Cannot wait to see concert use. #SXSW #Silly,6,1
"seems like just about every iphone app has a new update this week, guess its the #SXSW Factor",9,2
RT @mention @mention Peter Cashmore on the iPad 2: it's only a minor improvement. Not worth it unless you have money to burn. #SXSW,6,1
"RT @mention In a room full of geeks talking TV, @mention just asked, &quot;Who uses Google TV?&quot; No one raised hand. #socialviewing #sxsw",5,1
Pleased to see Josh Clark has featured a few @mention clients in his ipad design presentation.  #sxsw,6,3
"Web Developers: If you havenÛªt tried New Relic, sign up during #SXSW and enter to win an iPad 2! Come by booth 13 {link}",9,2
Found the pop-up Apple store at #SXSW,9,2
I need to go to #sxsw. but i have 7-mo. old. no sitter. know where to score apple-martin-like #babyheadphones ?,9,2
"RT @mention Tomorrow, Charles Chen will be speaking about Android and ChromeOS access @mention the Google booth in Exhibit Hall 3 @mention 1PM #sxsw",9,2
Holler Gram for iPad on the iTunes App Store: {link} via @mention all you #SXSW-sters great App from #MadebyMany - Free,7,3
"Ahhh, darn :( RT @mention @mention @mention according to @mention Google has confirmed it is not launching at #SXSW, if at all.",5,1
:) RT @mention Most not even born yet RT @mention Google's #SxSW party: &quot;Party like it's 1986&quot; [pic]: {link},9,2
"The Future of Google mapped out at #SXSW, Kia recalls 70,000 #Optimas and more Top Advertising News {link}",9,2
Totally overshadowing #sxsw. Apple wins again. RT @mention iPad 2 Arrives Tomorrow at 5 p.m.,2,3
ÛÏ@mention SXSW official iPhone app here: {link}  Enjoy!  #SXSW,9,2
FREE #iTunes #SXSW ... link takes you to @mention #iTunes store  {link},9,2
#SXSW @mention talk - demo'ing Google Places w/ Hotpot! Integrated rating/recommendation system for Android/iPhone - cool stuff!!!,5,3
Check out Staying Alive: Can Indie iPhone Game Development Survive? at #SXSW #StayingAlive,9,2
Google desmiente el lanzamiento hoy de Circles RT @mention  We're not launching any products at #SXSW but we're doing plenty else.,9,2
"IPad design talk was great, but ran late, had to haul ass to get to Ballroom A Innovative Design through Biomimicry #sxsw",6,3
RT @mention Marissa Mayer: Google Will Connect the Digital &amp; Physical Worlds Through Mobile - {link} #sxsw,3,3
"RT @mention There are still iPad 2s to be had, at least at the #sxsw pop-up Apple store. @mention just bought one.",9,2
Following the buzz? (Hee hee) - Google drip feeding information about Facebook rival: #circles #sxsw,9,2
"Arrived in Austin for #SXSW. Our hotel room is B.Y.O.A.P. (bring your own Apple products). My MBP, wife's iMac, iPad.",9,2
is surrounded by lots of iPad 2 boxes #SXSW,6,3
"RT @mention On the Early #nerdbird to #SXSW - get @mention iPhone app. Share photos of airport people. Like people of Wal-Mart, but at airports!",7,3
"@mention Hey Taariq, howdy from Texas, fav #sXsw app so far is the official one {link} &lt;--android-or get Iphone #UsGuys",1,3
"Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw - this will surely be a threat to FB",5,3
"#SXSW Come see Bitbop in Austin #gdgtaustin at the PureVolume House
504 Trinity on Monday, March 14th {link}",9,2
@mention  Welcome! Enjoy #Sxsw and ride anywhere in Austin for $10 . dwnld the #GroundLink app{link} booth 437,9,2
Cool new band alert at #SXSW. Check out A House A Home. Google them now! {link},9,2
"RT @mention Get #SXSW film red carpet coverage from @mention CW Austin Star Mandy Dugan on Grouped{in}, get the app {link}",9,2
Didn't get enough hacking on #startupbus? RSVP for SuperHappyDevHouse on Sunday in Austin at #sxsw. {link},9,2
"Google ARwords, ARsense anyone? #ARSXSW #SXSW #DARKNET",9,2
RT @mention Marissa Mayer: Google Will Connect the Digital &amp; Physical Worlds Through Mobile - {link} #sxsw #cm48,3,3
Official #SXSW App Û÷SXSW GOÛª {link} #android #iphone #ipad,9,2
Wondering if the #sxsw crowd made lines at Apple stores elsewhere in the U.S. any shorter today...,9,2
the first iPad didn't even exist here last year and I already feel like I'm pulling out an antique everytime I use my iPad #sxsw #ipad2,6,1
Very happy that Discovr has been named as one of the top ten must-have apps for iPad 2 :) I just have to fight my way thru the queue! #sxsw,7,3
Popup store de gadgets da Apple no #SXSW {link},9,2
"All the posts from #sxsw are making me jealous.  BTW #sxsw auto corrects as ass's on the iPad. No joke, check it.",6,2
Woman in front of me has etch-a-sketch housing for her iPad. Awesome! #SXSW,6,3
RT @mention Video interview with @mention &amp; @mention at #SXSW &quot;Google deals&quot; {link},9,2
"At #SXSW, Apple schools the marketing experts {link} via @mention",2,3
"RT @mention #sxsw: #15slides: Gruber: keeps on desk Apple Extended Keyboard 2 (discontinued in 1991, $169). Loud. But feels like he writes better.",9,2
Win this awesome iPad from QuiBids and custom @mention case if we catch you at #SXSW wearing an openbeta VIP badge!,6,3
Apple Opening Pop-Up Store in Austin (Sixth &amp; Congress) for #SXSW {link} #iPad2,9,2
#UXdes @mention is glad there are no standard #iPad navigation tools. She might be the only one! #SXSW,9,0
RT @mention Best thing I've heard this wknd at #SXSW &quot;Gave my iPad 2 $ to #Japan relief. I don't need an iPad 2.&quot; (@mention @mention,9,2
".@mention Three types of people at work: The Ghost, The Bad Apple and The Kid. #gamestorming #sxsw",9,2
#tech One lone dude awaits #iPad_2 at #AppleÛªs #SXSW store: Apple likely expected a bigger crowd forming... {link} #technology,9,2
@mention let's go to the apple store and score an ipad. #sxsw #widfy,6,3
"RT @mention another one? holy social fragmentation&gt;Google to Launch New Social Network Called Circles, Possibly 2day at #sxsw {link} @mention",9,0
"RT @mention Hey, #SxSW attendees. Summon your own town car when party hopping with an iPhone and @mention NothinÛ_ (cont) {link}",9,2
RT @mention They are everywhere: It's just crazy to look around sxsw and realize last year no one had an iPad. #sxsw,6,3
Cant handle #SxSW traffic? RT @mention Dear @mention your own app for iPhone has sucked all day. #crashing,7,1
"@mention mission round table #sxsw #sxbrits with twitter, google, dell, microsoft and icm",9,2
Check out this video to get a glimpse at what the action was like - The iPad 2 ...  #ipad #sxsw #gadgets {link},9,2
"RT @mention Per this rumor, Google may preview its big social strategy at '80s-themed costume party at #SXSW. Yep. {link} #cnet",3,3
Helpful #sxsw hint : charge your iPhone with your iPad charger to charge in 3/4 the time,9,2
"Wishful: Several semis filled with Apple's iPad2, each surrounded by tech geek masses. Grab a box &amp; bump pay. Synching and joy ensues. #SXSW",9,3
The iPad 2 Takes Over #SXSW [VIDEO]: {link} via Mashable,6,3
My post on Google/Bing Q/A with @mention @mention @mention on website ranking #SXSW #qagb {link},9,2
This schedule is heavier than my laptop. Where's my ipad already? #sxsw,6,3
Grown men playing legos... Google party #sxsw  @mention Speakeasy {link},9,2
"Ran the gauntlet to get a seat in ipad design talk, expect it'll be overflowing #sxsw",9,2
RT @mention Following the @mention #leanUX panel from #sxsw on Realtime on Google Docs {link} thanks to @mention,9,2
"RT @mention Interesting RT @mention @mention to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw",9,2
Checking out Staying Alive: Can Indie iPhone Game Development Survive? at #SXSW #StayingAlive,9,2
@mention @mention Really? What phone? Can't log in w/ #evo. #android #sxsw,9,2
my biggest mistake since South By Southwest last year? writin a book bout iPhone photography instead of makin a photography iPhone app #SXSW,9,2
RT @mention Filming with the iPad is so much cooler than a lame iPhone... #sxsw (at @mention live show)  {link},6,3
SXSW Ppl: You are our last hope of finding the monkey fucker who created the iPad bot that stalks me on twitter everytime i type iPad #SXSW,9,2
Talking local search. No surprises. // Does Google Hotpot weight those reviews heavier than other sites' in results? cc @mention #SXSW,9,2
The iPad 2 is the also a cartoonishly large digital camera. #SXSW #CStejas {link},9,0
"Best Hungry at #sxsw Tip: Mekong River, great Vietnamese {link} 6th btw Brazos &amp; San Jacinto till 11pm via @mention",9,2
The lines are already forming at Apple's pop-up store in Austin. Aren't these people here to see the festival? {link} #sxsw,9,2
"{link} At SXSW, Apple schools the marketing experts #sxsw",2,3
New version of Google Maps for Mobile is pretty amazing - vector based &amp; FAST! #sxsw,5,3
"Attending Designing iPad Interfaces - New Navigation Schemas. With AKQA's Lynn Teo. Ballroom A. And yes, we are hiring. #sxsw",9,2
"RT @mention All tech and interaction events have their own ipad apps, right?    {link} #sxsw",9,2
RT @mention Interesting. Google will launch circles later today where context is added to search #sxsw {link},9,2
RT @mention @mention  @mention &amp;  @mention having fun at #google [pic] #SXSW {link},9,2
"OK, I definitely need an iPad 2 #SXSW #gadgetenvy",6,3
SXSW ladies: the iPad bot on twitter creator is the persistent guy who chased you all last night. #HopeYouDidntGiveHimNone #SXSW,9,2
RT @mention .@mention reveals average time users spent on NYT's Oscars iPad app was 16mins: &quot;That blew my mind&quot; #newsapps #sxsw,9,2
&quot;papyrus...sort of like the ipad&quot; - nice! Lol! #SXSW Lavelle,6,3
"#SXSW come to the #privacybootcamp for startups with @mention @mention Google, Facebook in ACC 9ABC. Starting now. #sxswi",9,2
"At SXSW, Apple schools the marketing experts {link} /via @mention #SXSW #Apple",2,3
"At the Team Android party. Can't find it on Gowalla or Foursquare, so um, there you go. #sxsw",9,0
RT @mention Hipster or hobo? Only way to tell is the iPhone. #sxsw,9,2
RT @mention 20 Percent of Google Searches are for local information. #SXSW,9,2
RT @mention Soundtrckr featured by @mention @mention as a Must-have for #SXSW {link},9,3
"Before It Even Begins, Apple Wins #SXSW - TechCrunch - {link} #ipad",2,3
Hanging out with @mention at the @mention #google Industry Party...good crowd!  #sxsw,9,2
#technews iPad 2 Gets Temporary Apple Store for SXSW {link} #Tech_News #Apple #Apple_Store #iPad_2 #SXSW #tech,9,3
My CNET story on Apple's schooling the social marketing execs at #SXSW with its pop-up #iPad2  launch {link},9,2
Need an iPad? You can get one at the #Apple pop-up store at #SXSW! {link},9,2
"Google to Launch Major New Social Network Called Circles, {link} #sxsw - Brazil's orkut users have been waiting.",5,3
The ironic tee has been usurped by the iPad 2 as the hipster/geek/start-up chic fashion item at this year's #SXSW,6,3
Homeless guy outside pop-up #SXSW Apple store holding sign: &quot;saving up for ipad 2&quot; (don't ask for a photo),6,3
"RT @mention RT @mention Google says the future is location, location, location: {link} #SXSW #CNN",9,2
Check out the FREE SXSW Sampler on iTunes! {link} #SXSW,4,3
"Google denies it will launch major new social network, Circles, at #sxsw. But some, including Tim O'Reily, say it exists and is, awesome!",5,3
@mention if you have an iPhone get the #SXSW Go app.,7,2
Again? RT @mention Line at the Apple store is insane.. #sxsw,9,1
Anyone know what time Apple popup store in Austin closes tonite? #SXSW #sxtxstate #iPad apple,9,2
@mention ÛÏ@mention Google is NOT launching any products at #SXSW {link},9,2
What's your take on iPad? @mention I really want it! #checkins #sxsw,6,3
RT @mention Mayer making it clear that Google are going straight after foursquare &amp; gowalla with Google Hotpot. #sxsw,9,2
Barry Diller's pragmatic and straight forward which is nice. Looks like he wants us to grab pitchforks vs. Apple #SXSW,2,1
@mention New iPad Apps For Speech Therapy And Communication Are Showcased @mention The #SXSW Conference {link} #sxswi #sxswh #edapps,9,2
"#sxsw #twit #geekbeat Free Idea: a hooded snuggie with a tummy pocket for an iPad facing out, so you look like a #TeleTubbie. I'm old",9,2
"By the tweets of it, friends are boarding planes around the world heading for #SXSW . Have a great festival. Bring me an iPad.",9,2
"I'm looking forward to the #SMCDallas pre #SXSW party Wed., and hoping I'll win an #iPad resulting from my shameless promotion.  #ChevySMC",6,3
Showing off Uzu iPad app. #tapworthy #sxsw,7,3
Nice gesture - #Lonely-Planet makes #Austin guide on iPhone free for #SXSW {link},7,3
Learned from sponsored #sxsw software: 1) Austin = nice walking city; 2) Mapquest = piece of shit mapping software. (go Google Maps!) #fb,5,3
"RT @mention Just picked up my iPad 2, now back to #sxsw {link}",9,2
@mention gets a tattoo for a free ipad 2 {link} ...I heard for a mini cooper he would let go a kidney :) #sxsw,9,2
N2: First Meetings {link} [codes valid: 12:00-3:59:59p 03/11/11] #infektd #sxsw #necro,9,2
RT @mention RT @mention Google Earth to headline #Cleantech panel at #SXSW tues @mention 3:30pm. Follow #saveustechies. {link},9,2
"RT @mention My 1st #Billboard article: Apple, Spotify, Pandora: Tech Invades Austin @mention SXSWi 2011 {link} #SxSW",9,2
Ben at Google: Think while making as fast as you can - aim to have a product on day one: #agileagency #sxsw,9,2
RT @mention Get the FREE Coverage:SXSW app! Know where in Austin you'll get the best cellular data connection. #SXSW {link},9,2
@mention You could buy a new iPad 2 tmrw at the Apple pop-up store at #sxsw: {link},9,3
Listening to Google's Nadya Direkova on using game mechanics to create user engagement in social web apps. {link} #SXSW,9,2
Google to debut new selective social network today at #sxsw ? @mention {link}  #google #circles,9,2
"RT @mention Apple opening downtown Austin pop up store for #SXSW. RT @mention Before It Even Begins, Apple Wins SXSW {link}",2,3
#Apple to Open Pop-Up Shop at #SXSW [REPORT] {link},9,2
RT @mention knitted staircase in attendance at #sxsw party tomo 7pm hosted by @mention &amp; @mention {link},9,2
But are your phones staying charged? My crappy #iPhone would never handle #SXSW! RT @mention @mention @mention no sleep crazyfest!!!!!!,8,1
"@mention 2 heck w/being sick, #Apple is supposedly setting up mini-store at #sxsw - I so have to go now!! &amp; I'm feeling 95%, so plan 2 go",9,2
YES PLEASE RT@mention At #SXSW and want to win an iPad? Get on the case with @mention @mention and @mentionR,6,3
Google to give social networking another try with &quot;Circles&quot;: via @mention @mention  {link} #sxsw,9,2
The line for the iPad 2 at #sxsw.  {link},9,2
RT @mention &quot;There is no other explanation for Apple's continued survival than the existence of God&quot; #GuyKawasaki #sxsw,2,3
"Dear Lanyrd -- you're site is awesome to use for #sxsw, but i wish you had an iphone app!",7,3
"RT @mention Brilliant move by Apple: before it even begins, Apple wins #SXSW {link}",2,3
Seated for Turkey Bowl; Armadillo &amp; Kill List Sxxpress passes acquired; now if I could only buy an iPad. #SXSW,6,3
"RT @mention #Google's #Mobile Future, and the Elusive 'Power of Here' - {link} (via @mention #eurorscg #sxsw #sxswi",9,2
RT @mention #playhopskoch is in the apple app store (as well as the android market) getting ready to rock #sxsw,7,3
SXSW: Foursquare updates its merchant platform with new ÛÏSpecialsÛ {link} #Android #FlashSpecial #free #iPhone #SXSW,0,3
"miami horror, tacos and bloody marys. i'm there. https://sites.google.com/site/frontgatesxsw11/ #sxsw",9,2
The @mention / @mention party was without a doubt the best party I've ever been to in #SXSW. Well done!,9,2
Check out Lightbox.com at the Team Android Choice Awards finalists announced at #sxsw @mention and team rock!,9,2
Who said iPad? at Apple Store #SXSW photos by  @mention @mention @mention @mention @sheltongreen @EricSchu_Ras  {link},9,2
No more stumbling around lost at #SXSW! Stay in contact with your group with the @mention #iPhone application {link},7,3
RT @mention Google launches people finder service after Japan earthquake / tsunami {link} [Tnooz] #WSsxsw #sxsw #scrm,9,2
Anyone at  #SXSW who bought the new iPad want to sell their older iPad to me?,9,2
RT @mention Gary Vaynerchuck lÌ_gger ner winelibrary.tv och slÌ_pper i stÌ_llet Iphone-appen Daily Grape. #thankyoueconomy #sxsw #swesxsw,9,0
The iPad 2 Takes Over SXSW [VIDEO] {link} #apple #iPad #SXSW,6,3
exclusive shot of #SXSW popup Apple Store! {link},2,3
"Watching a promo for Google earth engine at 'Techies can save the world, why don't they?'. Harnessing collective power for good. #sxsw",3,3
The line is already forming at the temp Austin Apple store...and it doesn't open until 5. #sxsw #insanity,9,2
"@mention not my choice, believe me! Wore out three Apple 'Genius's' in the process. All better now and on the ground at #sxsw",9,2
"RT @mention Apple, Google, Intel ... Go Gaga for The Go Game by @mention @mention  {link} (cc @mention @iangogame) #LI #SXSW",9,0
Download 20+ free tracks from the @mention Music Sampler on @mention including @mention {link} #SXSW,9,2
"RT @mention tip: if your #SXSW hashtag search is being throttled by @mention dumb 420 errors, use google eg {link} for #fsw",9,2
"Google &amp; BAVC launch Impact Dashboard at #SXSW - web app to collect, host and visualize data in real time: bavc.org/impact",9,3
"Cool! And yes, Happy B-day @mention ;-) RT @mention New post: Business cards are dead #SXSW {link}",9,2
Wish I was at #SXSW meeting with everyone in #TeamAndroid and the rest of the Android community. I will be there next year.,0,3
Counting down the days to #sxsw plus strong Canadian dollar means stock up on Apple gear,2,3
Heading to the Apple pop-up store at #SXSW,9,2
Warning to Dictators: You can no longer hide your stinkin' F1 racetrack in your backyard ...say hello to Google Earth. #sxsw,9,2
RT @mention 10:30 AM line at Apple pop-up store in Austin. It opens at 5 PM. #sxsw {link},9,2
New iPhone app from @mention called DailyGrape - replacing WineLibrary TV with mobile content &amp; videos. Help to make wine choices #sxsw,9,2
@mention and @mention open up a 64GB 3G iPad 2 - Unboxing and first look - @mention #ipad2 #ipad #apple {link} via @mention #sxsw,9,2
"#SXSW predicts Group-Texting to be next-big thing, Fast Society Comes to Android &amp; Updates iPhone App - {link} - via @mention",9,2
Radio 3.0 looking for new bands for our radio show. Listen: {link} {link} #nowplaying #newmusic #sxsw pls RT,9,2
AWESOME!! ipad 2 jailbreak!! {link} Grateful Dead #fab5 #sxsw,6,3
@mention ÛÏ@mention Last day to get the #LP Austin iPhone app for free {link} #travel #sxsw&quot;,7,3
N37: On the Scent {link} [codes valid: 4:00-7:59:59p 03/14/11] #infektd #sxsw #necro,9,2
ÛÏ@mention #sxsw ipad store sold out of everything except 64gig wifi only whiteÛ @mention Did you manage to get yours?,6,3
RT @mention @mention we are actually giving away 10 #FREE #Taplynx #iPhone and #iPad app licences away for #SXSW! bit.ly/pushsxsw11. Check us out!,9,2
#LonelyPlanet #Austin iPhone app is a (free!) godsend. GPS-aware map of the city without the need for 3G or WiFi! #sxsw,7,3
"After failure of Google buzz, Google Latitude, now Google Circle! Seriously Google needs to concentrate more on search! #FAIL #google #sxsw",3,1
RT @mention Apple...&quot;the classiest fascist company in America&quot; Kara Swisher #sxsw,2,1
Exploring the World in 3D with XML combines Google Earth w/ location of individuals to show where you've been over time. So cool! #SxSW,3,3
Hmmm...Taxi Magic on iPhone does not appear to be so magic any more in Austin #sxsw,7,1
RT @mention RT @mention Apple sets up temporary Austin store to serve hordes of iPad 2 purchasers at #sxsw {link},9,2
"Cool. Apple sets up 5,000 sq. ft. temporary store at #SXSW to sell iPad 2's. {link}",2,3
"RT @mention RT @mention Google to launch a social network, Circles, at #SxSW - {link} - Who's excited?",3,3
"RT @mention Just got a shiny new #iPad2 at #SXSW ? Discover new music with {link} (built in HTML5, not Flash - looks great on iPad)",6,3
#wjchat Q7A: I'm going iPhone/iPad only. Bought a Zagg keyboard. I have high hopes this plan will work. #SXSW,8,3
Still waiting for someone to stop by with the new iPad 2 and my game on it. The prize is waiting for you!  #SXSW,6,3
"Any Google Analytics and DFP experts at #SXSW? Would love some insight on managing DFP campaigns, ad management/measurement. DM me! #HISXSW",3,3
(-: Mashable! - The iPad 2 Takes Over SXSW [VIDEO] #ipad #sxsw #gadgets {link} {link},9,2
brace yourselves for the audio onslaught of #SXSW and enjoy this free music sampler from itunes: {link} #featuredartists,9,2
"RT @mention holy smokes, ipad2 replacing my flip cam as default video capture device. beautiful. elegant. apple. #sxsw",6,3
#iPad being unloaded at #sxsw popup store. Awesome! {link},6,3
"Congrats to @mention another @mention winner of an #iPad case, it's going on a mission trip with his sister in Haiti! #SXSW #cbatsxsw",6,3
"Google to Launch Major New Social Network Called Circles, but not at #SXSW by @mention {link} via @mention",9,2
"Just bought iPad 2. In and out in 15 minutes #SXSW (@mention Apple Store, SXSW w/ 23 others) {link}",6,3
It is also limited in its abilities. Its a balance. RT @mention @mention An iPad is cheaper than most laptops. #newsapps #sxsw,9,0
RT @mention So many Google products. isn't it time to  transition them down the chain and into  features? But features of what product? #SXSW,9,0
"Yes!!! RT @mention hey @mention , i've got another gem for you --&gt; free @mention sxsw {link} #SXSW",9,2
RT @mention @mention #BT #SXSW &quot;Having a really GREAT social search is probably a very good idea for #google&quot; @mention,3,3
"RT @mention Going to Austin for #SXSW? The @mention Austin guide for #iPhone is free from Mar 9-15, {link} #lp",9,2
Looks like pop up Apple store is opening...apple store employees emerging into the queue #sxsw,9,2
"RT @mention RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #SXSW",9,2
It's Official! An Apple Store has popped up at #SXSW  {link},9,2
RT @mention Over 40% use of google maps is mobile -marissa mayer #sxsw &lt;--- I use it all the time #SUxSW,3,3
@mention (via @mention #sxsw ipad store sold out of everything except 64gig wifi only white,6,3
Nice find by RSQ's @mention {link} #sxsw #iPad #app,7,3
Any other #Sxsw accounts I need to follow or apps to download for iPhone?,9,2
@mention Saw u r going to #SXSW. Dwnld #GroundLink app &amp; ride for $10 in Austin during SXSWi{link} see us booth 437,9,2
"Lightbox wants to be Android's new camera, raises $1.1 million from Valley players bit.ly/eA1zgD #sxsw #betainvites",9,2
"Google to Launch Major New Social Network Called Circles, Possibly Today by @mention {link} via @mention #SXSW",9,2
RT @mention Spotted at #SXSW: Man in need of an iPad (2?) ÛÒ {link} #sxswi,6,3
"ÛÏ@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} rt @mention #sxswÛ",9,2
RT @mention Last day to get the #LP Austin iPhone app for free {link} #travel #sxsw,9,3
This just in: @mention to release new #socialmedia tool at #sxsw - {link},9,2
I'm at the google party. @mention Rocks! #sxsw,3,3
"@mention Putting an pop up apple store at #sxsw is so smart, talk about understanding your demo's needs!",2,3
"Google spokewoman Nadja Blagojevic e-mail about Google Circle: &quot;We are not announcing anything like this at #SXSW, this is an untrue rumor.&quot;",9,2
Hearing all sorts of conflicting reports about Google launching Circles/GoogleMe/+1 at #SXSW. Any real word in Austin? {link},9,2
@mention launching Gowalla 3 for Droid at #SxSW - should push 4square and Groupon {link},0,3
I arrived at #sxsw and my @mention issue hasn't been resolved. Dying to use the iPhone app but cant login. RT@mention @mention we're on it,7,2
All LBS apps on my iPhone think I am in Orlando :)) ! I guess I have 2 check in at Disney vs #SXSW :)),7,1
RT @mention Great session by @mention on iPad design. Good UI insights. #tapworthy #HISXSW #SXSW,6,3
"In line at an impromptu &quot;pop-up&quot;
Apple Store at #SXSWÛÓLots of social media folk promoting apps including @mention Also saw @mention in line",9,2
Coolest iPad case ever!  It's an etch-a-sketch #sxsw  {link},6,3
Apple is opening temporary store close to #SXSW to sell #iPad2. They get the influencers concept! {link} @mention,2,3
"#iPad menia at #SXSW . Check the live feed of photos at  Apple Store, SXSW. {link} #PLAYSXSW",9,2
"RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today @mention #SXSW {link} via @mention",9,3
"Anna's Social Media Picks of the Week (03/11/11) {link} covering social media and Japan, The iPad 2, #SXSW and more...",9,2
RT @mention Join actsofsharing.com tonight.  the person with the most friends in their city by end of #SXSW wins an iPad 2!!!,6,3
"On the way to #sxsw, see you all tonight! hopefully with a new ipad ;) (@mention San Francisco International Airport (SFO)) {link}",6,3
Apple Store has had a line down the block all week long at #sxsw amazing,2,3
"RT @mention There are more than a few PATs here at #sxsw. If you don't know what I'm talking about, please google Julia Sweeney and learn.",9,2
